"ID"	"Study.name"	"Outcome"	"PERSON"	"Sample.size"	"Correlation"	"Fisher.s.Z"	"Std.Err"	"Full.Reference"	"Long.Dup"	"raw.r."	"Study"	"SEX"	"Best."	"AGE"	"East.West"	"setting2"	"Setting"	"1st"	"2nd"	"3rd"	"4th"	"aveORonlyR"	"aveDVs"	"Country"	"Pub"	"z"	"t"	"df"	"d_est"	"p.onetail"	"p.twotail"
"14"	"ACF04PA1"	"PhysArous"	"both"	115	0.226	0.229970121453215	0.0944911182523068	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	"Exp"	"y"	1	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"0.224700"	"0.373100"	"0.063100"	"."	"0.226"	"dia,sys,hr"	"US"	"Journal"	2.43377500136211	2.46622073868661	113	0.464005062984582	0.00757834821944068	0.0151566964388814
"15"	"ACipAA2"	"AggAff"	"Third"	148	0.2122	0.21547395949019	0.08304547985374	"Anderson, C. A., & Carnagey, N. L. (in press). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology"	"Exp"	"y"	2	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"0.264600"	"0.157900"	"."	"."	"0.2122"	"aggra,mean"	"US"	"Journal"	2.59465006246798	2.62377554194842	146	0.434290417777477	0.00481007228061658	0.00962014456123315
"16"	"ACipAB3"	"AggBeh"	"Third"	103	0.2441	0.249129281811157	0.1	"Anderson, C. A., & Carnagey, N. L. (in press). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology"	"Exp"	"y"	3	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.2441"	"."	"US"	"Journal"	2.49129281811157	2.52969783224217	101	0.503428684614909	0.00648084375849544	0.0129616875169909
"17"	"ACipAC1"	"AggCog"	"Third"	111	0.2441	0.249129281811157	0.0962250448649376	"Anderson, C. A., & Carnagey, N. L. (in press). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology"	"Exp"	"y"	1	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.2441"	"."	"US"	"Journal"	2.58902744250041	2.62797488637866	109	0.503428684614909	0.00491403638441157	0.00982807276882314
"18"	"AD00AA2"	"AggAff"	"First"	210	0.071	0.0711196658169551	0.0695048046856916	"Anderson, C. A., & Dill, K. E. (2000). Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life. Journal of Personality and Social Psychology, 78, 772-790."	"NB"	"y"	2	"MF"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.071"	"."	"US"	"Journal"	1.02323380575726	1.02656729419182	208	0.142359269881651	0.152908301440761	0.305816602881522
"19"	"AD00AB1b"	"AggBeh"	"."	226	0.4112	0.43705455891893	0.0669649530182425	"Anderson, C. A., & Dill, K. E. (2000). Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life. Journal of Personality and Social Psychology, 78, 772-790."	"Blank"	"y"	1	"MF"	"y"	"Adult"	"West"	"Nonexp"	"Nonexp"	"0.460000"	"0.352900"	"."	"."	"0.4112"	"NYS, BPp"	"US"	"Journal"	6.52661637498451	6.75147914678163	224	0.902204350757347	6.20268245599068e-11	1.24053649119814e-10
"22"	"AD00AB2"	"AggBeh"	"First"	196	0.1585	0.159847665120785	0.0719815750748695	"Anderson, C. A., & Dill, K. E. (2000). Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life. Journal of Personality and Social Psychology, 78, 772-790."	"Exp"	"y"	2	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"0.113300"	"0.158500"	"."	"."	"0.136"	"win  duration, lose duration"	"US"	"Journal"	2.22067473453483	2.23591377882927	194	0.321058507895258	0.0132484089917118	0.0264968179834237
"23"	"AD00AC2"	"AggCog"	"First"	207	0.3698	0.388191396720315	0.0700140042014005	"Anderson, C. A., & Dill, K. E. (2000). Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life. Journal of Personality and Social Psychology, 78, 772-790."	"Exp"	"y"	2	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.3698"	"."	"US"	"Journal"	5.54448215250843	5.69870344102216	205	0.796029425963244	2.08000062243447e-08	4.16000124486895e-08
"24"	"AEC06AA"	"AggAff"	"First"	87	0.3027	0.312489289238277	0.109108945117996	"Arriaga, P., Esteves, F., Carneiro, P., & Monteiro, M.B. (2006). Violent computer games and their effects on state hostility and physiological arousal. Aggressive Behavior, 32, 358-371."	"Exp"	"y"	1	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.3027"	"."	"Portugal"	"Journal"	2.86401164359471	2.9281265646819	85	0.635199836227414	0.0021877466351294	0.0043754932702588
"27"	"AEC08AA"	"AggAff"	"First"	148	0.178	0.179916484577676	0.08304547985374	"Arriaga, P., Esteves, F., Carneiro, P., & Monterio, M. B. (2008). Are the effects of Unreal violent video games pronounced when playing with a virtual reality system? Aggressive Behavior, 34, 521-538."	"Exp"	"y"	1	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.178"	"."	"Portugal"	"Journal"	2.16648136532591	2.18568653206058	146	0.361777408914445	0.0152161437308106	0.0304322874616212
"28"	"AEC08AB"	"AggBeh"	"First"	148	0.168	0.169607861283482	0.08304547985374	"Arriaga, P., Esteves, F., Carneiro, P., & Monterio, M. B. (2008). Are the effects of Unreal violent video games pronounced when playing with a virtual reality system? Aggressive Behavior, 34, 521-538."	"Exp"	"y"	1	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.168"	"."	"Portugal"	"Journal"	2.04234910295173	2.05921941895093	146	0.340844423409628	0.0206249750243272	0.0412499500486544
"29"	"AEC08AC"	"AggCog"	"First"	138	0.003	0.0030000090000486	0.086066296582387	"Arriaga, P., Esteves, F., Carneiro, P., & Monterio, M. B. (2008). Are the effects of Unreal violent video games pronounced when playing with a virtual reality system? Aggressive Behavior, 34, 521-538."	"Exp"	"y"	1	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.003"	"."	"Portugal"	"Journal"	0.0348569546869818	0.0349858688058357	136	0.00600002700018225	0.486071153252814	0.972142306505629
"30"	"AEC08PA"	"PhysArous"	"First"	148	0.05	0.0500417292784913	0.08304547985374	"Arriaga, P., Esteves, F., Carneiro, P., & Monterio, M. B. (2008). Are the effects of Unreal violent video games pronounced when playing with a virtual reality system? Aggressive Behavior, 34, 521-538."	"NB"	"y"	1	"MF"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.05"	"."	"Portugal"	"Journal"	0.602582215993272	0.604908907991458	146	0.100125234864352	0.273089267689308	0.546178535378615
