	Study name	Outcome	PERSON	Sample size        	Correlation	Cor.Joe	Fisher's Z	Z.Joe	Std Err	Std.Err.Joe	t	df	p	Full Reference	Long Dup	raw r?	Study	SEX	Best?	Best.Joe	AGE	East/West	setting2	Setting	1st	2nd	3rd	4th	aveORonlyR	aveDVs	Country	Concern	Test	p-value	
444	WRM06AA	AggAff	First	13	0.6209		0.726468403		0.316227766					"Weber, R., Ritterfeld, U., & Mathiak, K. (2006). Does playing violent video games induce aggression?: Empirical evidence of a functional magnetic resonance imaging study. Media Psychology, 8, 39-60."	Exp	y	1	M	y		Adult	West	Exp	Exp	0.6657	0.5692	.	.	0.6209	"rACC,amyg"	Germany				
445	WRM06AC	AggCog	First	13	0.526		0.584598945		0.316227766					"Weber, R., Ritterfeld, U., & Mathiak, K. (2006). Does playing violent video games induce aggression?: Empirical evidence of a functional magnetic resonance imaging study. Media Psychology, 8, 39-60."	Exp	y	1	M	y		Adult	West	Exp	Exp	.	.	.	.	0.526	.	Germany				
222	HHW08ABL	AggBeh	.	314	0.351		0.366583811		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	L	y	1	MF	y		Child	West	Long	Long	.	.	.	.	0.351	.	Germany				
285	MK09ABL	AggBeh	.	139	0.29		0.298566264		8.57E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	L	y	1	MF	y		Child	West	Long	Long	.	.	.	.	0.29	.	Germany				
227	HHW08ACL	AggCog	.	314	0.2		0.202732554		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	L	y	1	MF	y		Child	West	Long	Long	.	.	.	.	0.2	.	Germany				
290	MK09ACL	AggCog	.	137.5	0.2064		0.209408221		8.62E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	L	y	1	MF	y		Child	West	Long	Long	0.29	0.13	.	.	0.2064	"NormBel,HAB"	Germany				
223	HHW08ABPL	AggBeh	.	314	0.11		0.110446916		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	LT1	n	1	MF	y		Child	West	LongP	LongP	.	.	.	.	0.11	.	Germany				
286	MK09ABPL	AggBeh	.	139	0.253		0.258615385		8.57E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	LT1	n	1	MF	y		Child	West	LongP	LongP	.	.	.	.	0.29	.	Germany				
228	HHW08ACPL	AggCog	.	314	0.1399		0.140823578		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	LT1	n	1	MF	y		Child	West	LongP	LongP	.	.	.	.	0.1399	.	Germany				
291	MK09ACPL	AggCog	.	137.5	0.168		0.169607861		8.62E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	LT1	n	1	MF	y		Child	West	LongP	LongP	0.29	0.13	.	.	0.2064	"NormBel,HAB"	Germany				
224	HHW08ABPLs	AggBeh	.	227	0.0948		9.51E-02		6.68E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	LT1s	n	1	MF	y		Child	West	LongPs	LongPs	.	.	.	.	0.0948	.	Germany				
287	MK09ABPLs	AggBeh	.	130	0.2051		0.208050755		8.87E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	LT1s	n	1	MF	y		Child	West	LongPs	LongPs	.	.	.	.	0.2051	.	Germany				
229	HHW08ACPLs	AggCog	.	227	0.0827		8.29E-02		6.68E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	LT1s	n	1	MF	y		Child	West	LongPs	LongPs	.	.	.	.	0.0827	.	Germany				
292	MK09ACPLs	AggCog	.	130	0.1071		0.107512335		8.87E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	LT1s	n	1	MF	y		Child	West	LongPs	LongPs	0.117	0.0973	.	.	0.1071	"NormBel,HAB"	Germany				
221	HHW08AB	AggBeh	.	314	0.3181		0.329531783		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	Blank	y	1	MF	y		Child	West	Nonexp	Nonexp	0.351	0.284	.	.	0.361	"T1,T2"	Germany				
225	HHW08ABs	AggBeh	.	227	0.3384		0.352284503		6.68E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	Blank	n	1	MF	y		Child	West	Nonexp	NonexpS	0.4132	0.2567	.	.	0.3384	"T1,T2"	Germany				
284	MK09AB	AggBeh	.	219	0.253		0.258615385		6.80E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	Blank	y	1	MF	y		Child	West	Nonexp	Nonexp	0.18	0.39	.	.	0.253	"T1,T2"	Germany				
288	MK09ABs	AggBeh	.	130	0.1936		0.196074666		8.87E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	Blank	n	1	MF	y		Child	West	Nonexp	NonexpS	0.08	0.3	.	.	0.1936	"T1,T2"	Germany				
226	HHW08AC	AggCog	.	314	0.2402		0.244986348		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	Blank	y	1	MF	y		Child	West	Nonexp	Nonexp	0.196	0.283	.	.	0.2402	"T1,T2"	Germany				
230	HHW08ACs	AggCog	.	227	0.1887		0.190988826		6.68E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	Blank	n	1	MF	y		Child	West	Nonexp	Nonexp	0.1648	0.2122	.	.	0.1887	"T1,T2"	Germany				
258	KM04AC	AggCog	.	231	0.1841		0.186223236		6.62E-02					"Krahé, B., & Möller, I. (2004). Playing violent electronic games, hostile attributional style, and aggression-related norms in German adolescents. Journal of Adolescence, 27, 53-69. "	Blank	y	1	MF	y		Child	West	Nonexp	Nonexp	0.06	0.3	.	.	0.1841	"HABp, agg.normsp"	Germany				
259	KM04ACs	AggCog	.	231	0.0849		8.51E-02		6.62E-02					"Krahé, B., & Möller, I. (2004). Playing violent electronic games, hostile attributional style, and aggression-related norms in German adolescents. Journal of Adolescence, 27, 53-69. "	Blank	n	1	MF	y		Child	West	Nonexp	NonexpS	-0.0213	0.1883	.	.	0.0849	"HABp, agg.normsp"	Germany				
289	MK09AC	AggCog	.	219	0.2159		0.21935163		6.80E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	Blank	y	1	MF	y		Child	West	Nonexp	Nonexp	0.25	0.1	0.38	0.2	0.2159	"T1,T2"	Germany				
293	MK09ACs	AggCog	.	130	0.089		8.92E-02		8.87E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	Blank	n	1	MF	y		Child	West	Nonexp	NonexpS	0.09	0.23	-0.09	0.12	0.089	"T1,T2"	Germany				
343	SBL08DS	Desen	First	42	-0.0131		-1.31E-02		0.160128154					"Straude-Muller, F., Bliesener, T., & Luthman, S. (2008). Hostile and hardened? An experimental study on (de-)sensitization to violence and suffering through playing video games. Swiss Journal of Psychology, 67, 41-50."	NB	y	1	MF	n		Adult	West	Exp	Exp	0.321	-0.343	.	.	-0.0131	"agg,avers"	Germany				
344	SBL08PA	PhysArous	First	42	0.0299		2.99E-02		0.160128154					"Straude-Muller, F., Bliesener, T., & Luthman, S. (2008). Hostile and hardened? An experimental study on (de-)sensitization to violence and suffering through playing video games. Swiss Journal of Psychology, 67, 41-50."	NB	y	1	MF	n		Adult	West	Exp	Exp	0.304	-0.251	.	.	0.0299	"HR,resp."	Germany				
217	GTG87AB	AggBeh	.	5218	0.1447		0.145722794		1.38E-02					"Grusser,-S-M; Thalemann, R. Griffiths,M-D. (2007). Excessive computer game playing: evidence for addiction and aggression? Cyberpsychol-Behav. 2007 Apr; 10(2): 290-2."	NB	y	1	MF	n		Adult	West	Nonexp	Nonexp	.	.	.	.	0.1447	.	Germany				
346	SGB06AC	AggCog	.	370	0.4898		0.535797178		5.22E-02					"Sigurdsson, J. F., Gudjonsson, G. H.., Bragason, A. V., Kristjansdottir, E., Sigfusdottir, I. D. (2006). The role of violent cognition in the relationship between personality and the involvement in violent films and computer games. Personality and Individual Differences. Vol 41(2), Jul 2006, pp. 381-392"	NB	y	1	MF	n		Adult	West	Nonexp	Nonexp	.	.	.	.	0.4898	.	Iceland				
347	SGB06DS	Desen	.	370	-0.3211		-0.33287308		5.22E-02					"Sigurdsson, J. F., Gudjonsson, G. H.., Bragason, A. V., Kristjansdottir, E., Sigfusdottir, I. D. (2006). The role of violent cognition in the relationship between personality and the involvement in violent films and computer games. Personality and Individual Differences. Vol 41(2), Jul 2006, pp. 381-392"	NB	y	1	MF	n		Adult	West	Nonexp	Nonexp	.	.	.	.	-0.3211	.	Iceland				
118	BTC04PA	PhysArous	First	22	0.2468		0.252002376		0.229415734					"Baldaro, B. Tuozzi, G., Codispoti, M., Montebarocci, O.,, Barbagli, F., Trombini, E., Rossi, N. (2004) Aggressive and non-violent videogames: short-term psychological and cardiovascular effects on habitual players.  Stress and Health (20)"	Exp	y	1	M	y		Adult	West	Exp	Exp	0.4838	0.2588	-0.0565	.	0.2468	"sys,dia,hr"	Italy				
117	BTC04AB	AggBeh	First	22	0.3384		0.352284503		0.229415734					"Baldaro, B. Tuozzi, G., Codispoti, M., Montebarocci, O.,, Barbagli, F., Trombini, E., Rossi, N. (2004) Aggressive and non-violent videogames: short-term psychological and cardiovascular effects on habitual players.  Stress and Health (20)"	NB	y	1	M	n		Adult	West	Exp	Exp	.	.	.	.	0.3384	questionnaire	Italy	1			BDHI questionnaire is not actual behavior
348	SKM01AA	AggAff	Third	55	0.4035		0.427822577		0.138675049					"Sakamoto, A,, Kobayashi, S., & Mouri, M. (2001). Kougekigata terebigemu no shiyou ga joshi daigakusei no bouryokusei ni oyobosu eikyou: genjitsusei to houshousei no chousei kouka [The effect of violent video game use on violence of female university students: The adjustment effect of reality and reward].The Japanese Psychological Association 65th Annual Meeting, p. 804."	Exp	y	1	F	y		Adult	East	Exp	Exp	.	.	.	.	0.4035	.	Japan				
472	YY01AA	AggAff	Third	30	0.3989		0.422340091		0.19245009					"Yukawa, S., & Yoshida, F. (2001). Bouryokuteki terebigemu to kougeki: Gemu _tokusei oyobi sankasei no kouka [Violent video games and aggression: The effects of game format and participation], Tsukuba Psychological Research, 23,115-127. "	Exp	y	1	M	y		Adult	East	Exp	Exp	.	.	.	.	0.3989	.	Japan				
251	K01AB	AggBeh	First	24	0.1956		0.198153386		0.21821789	0.21821789	0.908052892	22	0.373690408	"Katori, T. (2001). Bouryokuteki bideogemu no kougeki sokushin kouka to sougosayousei [The effects of violent video games and interactivity on aggression].Proceedings of the 42nd convention of the Japanese Society of Social Science, pp. 602-603. "	Exp	y	1	M	y	y	Adult	East	Exp	Exp	.	.	.	.	0.1956	.	Japan				
349	SKM01AB	AggBeh	Third	55	0.2991		0.308530886		0.138675049	0.138675049	2.224847861	53	0.030371295	"Sakamoto, A,, Kobayashi, S., & Mouri, M. (2001). Kougekigata terebigemu no shiyou ga joshi daigakusei no bouryokusei ni oyobosu eikyou: genjitsusei to houshousei no chousei kouka [The effect of violent video game use on violence of female university students: The adjustment effect of reality and reward].The Japanese Psychological Association 65th Annual Meeting, p. 804."	Exp	y	1	F	y	y	Adult	East	Exp	Exp	.	.	.	.	0.2991	.	Japan				
351	SON01AB1	AggBeh	both	35	0.3157		0.326863852		0.176776695	0.176776695	1.849021171	33	0.073430333	"Sakamoto, A. Ozaki, M., Narushima, R., Mori, T., Sakamoto, K., Takahira, M., et al. (2001). Terebigemu asobi ga ningen no bouryoku koudou ni oyobosu eikyo to sono katei: Joshidaigakusei ni taisuru 2-tsu no shakaishinrigakuteki jikken [The influence of video game play on human violence and its process: Two social psychological experiments of female university students]. Studies in Simulation and Gaming, 11(1), 28-39."	Exp	y	1	F	y	y	Adult	East	Exp	Exp	.	.	.	.	0.3157	.	Japan				
