	Study name	Outcome	PERSON	Sample size        	Correlation	Cor.Joe	Fisher's Z	Z.Joe	Std Err	Std.Err.Joe	t	df	p	Full Reference	Long Dup	raw r?	Study	SEX	Best?	Best.Joe	AGE	East/West	setting2	Setting	1st	2nd	3rd	4th	aveORonlyR	aveDVs	Country	Concern	Test	p-value	
461	YS01ABPLbs	AggBeh	.	1050	0.067		6.71E-02		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503."	LT1s	n	1	MF	y		Child	East	LongPs	LongPs	0.041	0.093	.	.	0.067	"BP,30"	Japan				
325	NKS99ACPLs	AggCog	.	181	0.0176		1.76E-02		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	LT1s	n	1	MF	y		Child	East	LongPs	LongPs	.	.	.	.	0.0176	.	Japan				
373	SSI04ACfPL	AggCog	.	302	0.002		2.00E-03		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	LT1s	n	1	F	y		Child	East	LongPs	LongPs					0.002		Japan				
376	SSI04ACmPL	AggCog	.	289	0.07		7.01E-02		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	LT1s	n	1	M	y		Child	East	LongPs	LongPs					0.07		Japan				
405	SYS02AC2PLbs	AggCog	.	780	0.042		4.20E-02		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	LT1s	n	2	MF	y		Child	East	LongPs	LongPs	0.025	0.058	.	.	0.042	"BP,30"	Japan				
466	YS01ACPLbs	AggCog	.	1050	0.04		4.00E-02		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503."	LT1s	n	1	MF	y		Child	East	LongPs	LongPs	0.034	0.046	.	.	0.04	"BP,30"	Japan				
379	SSI04EfPL	Empathy	.	302	0.029		2.90E-02		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	LT1s	n	1	F	y		Child	East	LongPs	LongPs	.	.	.	.	0.029		Japan				
382	SSI04EmPL	Empathy	.	289	0.053		5.30E-02		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	LT1s	n	1	M	y		Child	East	LongPs	LongPs	.	.	.	.	0.053		Japan				
410	SYS02EM1PLbs	Empathy	.	1050	-0.1409		-0.141843687		3.09E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	LT1s	n	1	MF	y		Child	East	LongPs	LongPs	.	.	.	.	-0.1409	.	Japan				
415	SYS02EM2PLbs	Empathy	.	780	-0.056		-5.61E-02		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	LT1s	n	2	MF	y		Child	East	LongPs	LongPs	-0.0641	-0.0479	.	.	-0.056	"Vsc,Vs*Wtime"	Japan				
248	ISS03PBPLbs	ProsBeh	.	780	-0.035		-3.50E-02		3.59E-02					"Ihori, N., Sakamoto, A., Shibuya, A. & Yukawa, S. (2003) Shiin betsu no terebigemu sesshoku niyoru kodomo heno eikyou: Shogakusei wo taisho nishita paneru kenkyu [Effects of violent and prosocial scenes of video games on children: A panel study on elementary school children]. Proceedings of the Fall Conference of Japan Association of Simulation and Gaming. pp.30-33."	LT1s	n	1	MF	y		Child	East	LongPs	LongPs	0.0079	-0.0777	.	.	-0.035	"Vsc,Vs*Wtime"	Japan				
385	SSI04PBfPL	ProsBeh	.	302	-0.034		-3.40E-02		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	LT1s	n	1	F	y		Child	East	LongPs	LongPs					-0.034		Japan				
388	SSI04PBmPL	ProsBeh	.	289	-0.029		-2.90E-02		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	LT1s	n	1	M	y		Child	East	LongPs	LongPs					-0.029		Japan				
471	YS01PBPLbs	ProsBeh	.	1050	-0.0948		-9.51E-02		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503."	LT1s	n	1	MF	y		Child	East	LongPs	LongPs	.	.	.	.	-0.0948	.	Japan				
298	MWS04AA2b	AggAff	.	150	-0.073		-7.31E-02		8.25E-02					"Matsuzaki, N., Watanabe, H., & Satou, K. (2004). Terebigemu no kougekisei ni kansuru kyouikushinrigakuteki kenkyu [Educational psychology of the aggressiveness in the video game]. Bulletin of the Faculty of Education, Ehime University, 51(1), 45-52. "	Blank	y	2	MF	y		Adult	East	Nonexp	Nonexp	.	.	.	.	-0.073	.	Japan				
312	NKS99AA	AggAff	.	181	0.138		0.138886172		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	0.151	0.125	.	.	0.138	"T1,T2"	Japan				
316	NKS99AAs	AggAff	.	181	0.1487		0.149810777		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	0.1555	0.1419	.	.	0.1487	"T1,T2"	Japan				
359	SSI04AAf	AggAff	.	302	0.058		5.81E-02		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	F	y		Child	East	Nonexp	NonexpS					0.058		Japan				
362	SSI04AAm	AggAff	.	289	0.118		0.118552299		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	M	y		Child	East	Nonexp	NonexpS					0.118		Japan				
391	SYS02AA2b	AggAff	.	780	0.138		0.138886172		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	y	2	MF	y		Child	East	Nonexp	Nonexp	0.163	0.113	.	.	0.138	"BP,30"	Japan				
392	SYS02AA2bs	AggAff	.	780	0.158		0.159334822		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	n	2	MF	y		Child	East	Nonexp	NonexpS	0.197	0.117	.	.	0.158	"BP,30"	Japan				
452	YS01AAb	AggAff	.	1050	0.034		3.40E-02		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503. "	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	0.04	0.028	.	.	0.034	"BP,30"	Japan				
453	YS01AAbs	AggAff	.	1050	0.047		4.70E-02		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503. "	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	0.056	0.039	.	.	0.047	"BP,30"	Japan				
299	MWS04ABb	AggBeh	.	776	0.599		0.691586143		3.60E-02					"Matsuzaki, N., Watanabe, H., & Satou, K. (2004). Terebigemu no kougekisei ni kansuru kyouikushinrigakuteki kenkyu [Educational psychology of the aggressiveness in the video game]. Bulletin of the Faculty of Education, Ehime University, 51(1), 45-52. "	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	.	.	.	.	0.599	.	Japan				
317	NKS99AB	AggBeh	.	181	0.3095		0.319992346		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	0.3	0.319	.	.	0.3095	"T1,T2"	Japan				
321	NKS99ABs	AggBeh	.	181	0.2505		0.255946216		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	0.2392	0.2617	.	.	0.2505	"T1,T2"	Japan				
353	SSHipABf	AggBeh	.	403	0.22		0.223656109		0.05					"Suzuki, K., Sado, M., Horiuchi, Y., & Hasegawa, M., Sakamoto, A. (in press) Chugakusei no terebigeemu shiyou to kougekisei: Bouryoku byousha sicho no eikyou oyobi ninchitekijukuryosei niyoru chouseikouka no kentou [Does video game use grow aggression?: Effects of frequent viewing of violent depictions and moderating role of cognitive reflection on junior high school students]. Journal of Digital Games Research. (in Japanese)."	Blank	y	1	F	y		Child	East	Nonexp	NonexpS	0.21	0.19	0.22	0.26	0.22	"T1,T2"	Japan				
356	SSHipABm	AggBeh	.	387	0.201		0.203774438		5.10E-02					"Suzuki, K., Sado, M., Horiuchi, Y., & Hasegawa, M., Sakamoto, A. (in press) Chugakusei no terebigeemu shiyou to kougekisei: Bouryoku byousha sicho no eikyou oyobi ninchitekijukuryosei niyoru chouseikouka no kentou [Does video game use grow aggression?: Effects of frequent viewing of violent depictions and moderating role of cognitive reflection on junior high school students]. Journal of Digital Games Research. (in Japanese)."	Blank	y	1	M	y		Child	East	Nonexp	NonexpS	0.15	0.13	0.27	0.25	0.201	"T1,T2"	Japan				
365	SSI04ABf	AggBeh	.	302	0.076		7.61E-02		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	F	y		Child	East	Nonexp	NonexpS							Japan				
368	SSI04ABm	AggBeh	.	289	0.089		8.92E-02		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	M	y		Child	East	Nonexp	NonexpS							Japan				
396	SYS02AB2b	AggBeh	.	780	0.184		0.18611973		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	y	2	MF	y		Child	East	Nonexp	Nonexp	0.218	0.149	.	.	0.184	"BP,30"	Japan				
397	SYS02AB2bs	AggBeh	.	780	0.18		0.181982689		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	n	2	MF	y		Child	East	Nonexp	NonexpS	0.199	0.16	.	.	0.18	"BP,30"	Japan				
450	YA99ABb	AggBeh	.	2984	0.256		0.261823156		1.83E-02					"Youth Affairs Administration of Management and Coordination Agency. (1999). Seishonen to terebi, gemu tou ni kakawaru bouryokusei ni kansuru chosa houkokusho [A survey research report on TV and video game violence and youth]. Tokyo: Author."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	.	.	.	.	0.256	.	Japan				
451	YA99ABbs	AggBeh	.	2984	0.164		0.165494508		1.83E-02					"Youth Affairs Administration of Management and Coordination Agency. (1999). Seishonen to terebi, gemu tou ni kakawaru bouryokusei ni kansuru chosa houkokusho [A survey research report on TV and video game violence and youth]. Tokyo: Author."	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	.	.	.	.	0.164	.	Japan				
457	YS01ABb	AggBeh	.	1050	0.205		0.207946366		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503. "	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	0.162	0.247	.	.	0.205	"BP,30"	Japan				
458	YS01ABbs	AggBeh	.	1050	0.14		0.140925576		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503. "	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	0.113	0.167	.	.	0.14	"BP,30"	Japan				
301	MWS04AC	AggCog	.	776	0.532		0.592930527		3.60E-02					"Matsuzaki, N., Watanabe, H., & Satou, K. (2004). Terebigemu no kougekisei ni kansuru kyouikushinrigakuteki kenkyu [Educational psychology of the aggressiveness in the video game]. Bulletin of the Faculty of Education, Ehime University, 51(1), 45-52. "	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	.	.	.	.	0.532	.	Japan				
322	NKS99AC	AggCog	.	181	0.1111		0.111560526		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	0.084	0.138	.	.	0.1111	"T1,T2"	Japan				
326	NKS99ACs	AggCog	.	181	0.1383		0.139192009		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	0.1274	0.1493	.	.	0.1383	"T1,T2"	Japan				
371	SSI04ACf	AggCog	.	302	0.086		8.62E-02		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	F	y		Child	East	Nonexp	NonexpS					0.086		Japan				
374	SSI04ACm	AggCog	.	289	0.091		0.091252446		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	M	y		Child	East	Nonexp	NonexpS					0.091		Japan				
401	SYS02AC2b	AggCog	.	780	0.119		0.119566541		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	y	2	MF	y		Child	East	Nonexp	Nonexp	0.13	0.108	.	.	0.119	"BP,30"	Japan				
402	SYS02AC2bs	AggCog	.	780	0.128		0.128706004		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	n	2	MF	y		Child	East	Nonexp	NonexpS	0.139	0.117	.	.	0.128	"BP,30"	Japan				
462	YS01ACb	AggCog	.	1050	0.088		8.82E-02		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503. "	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	0.101	0.074	.	.	0.088	"BP,30"	Japan				
463	YS01ACbs	AggCog	.	1050	0.077		7.72E-02		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503. "	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	0.113	0.04	.	.	0.077	"BP,30"	Japan				
377	SSI04Ef	Empathy	.	302	-0.114		-0.114497735		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	F	y		Child	East	Nonexp	NonexpS					-0.114		Japan				
380	SSI04Em	Empathy	.	289	-0.137		-0.137866901		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	M	y		Child	East	Nonexp	NonexpS					-0.137		Japan				
406	SYS02EM1b	Empathy	.	1050	-0.191		-0.193374826		3.09E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	.	.	.	.	-0.1905	"T1, T2"	Japan				
407	SYS02EM1bs	Empathy	.	1050	-0.1796		-0.181569325		3.09E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	-0.1895	-0.1696	.	.	-0.1796	"T1, T2"	Japan				
411	SYS02EM2b	Empathy	.	780	-0.23		-0.234189467		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	y	2	MF	y		Child	East	Nonexp	Nonexp	-0.0105	-0.089	.	.	-0.23	"Vsc,Vs*Wtime"	Japan				
412	SYS02EM2bs	Empathy	.	780	-0.0944		-9.47E-02		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	Blank	n	2	MF	y		Child	East	Nonexp	NonexpS	-0.1283	-0.1297	-0.0347	-0.0841	-0.0944	"Vsc,Vs*Wtime"	Japan				
244	ISS03PBb	ProsBeh	.	780	-0.05		-5.00E-02		3.59E-02					"Ihori, N., Sakamoto, A., Shibuya, A. & Yukawa, S. (2003) Shiin betsu no terebigemu sesshoku niyoru kodomo heno eikyou: Shogakusei wo taisho nishita paneru kenkyu [Effects of violent and prosocial scenes of video games on children: A panel study on elementary school children]. Proceedings of the Fall Conference of Japan Association of Simulation and Gaming. pp.30-33."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	-0.0105	-0.089	.	.	-0.05	"Vsc,Vs*Wtime"	Japan				
245	ISS03PBbs	ProsBeh	.	780	-0.0069		-6.90E-03		3.59E-02					"Ihori, N., Sakamoto, A., Shibuya, A. & Yukawa, S. (2003) Shiin betsu no terebigemu sesshoku niyoru kodomo heno eikyou: Shogakusei wo taisho nishita paneru kenkyu [Effects of violent and prosocial scenes of video games on children: A panel study on elementary school children]. Proceedings of the Fall Conference of Japan Association of Simulation and Gaming. pp.30-33."	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	0.0151	-0.0742	0.0445	-0.013	-0.0069	"Vsc,Vs*Wtime"	Japan				
383	SSI04PBf	ProsBeh	.	302	-0.149		-0.150117575		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	F	y		Child	East	Nonexp	NonexpS					-0.149		Japan				
386	SSI04PBm	ProsBeh	.	289	-0.074		-7.41E-02		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	Blank	y	1	M	y		Child	East	Nonexp	NonexpS					-0.074		Japan				
